# func series z0 z dz logN dlogN b db btur dbtur resol chi2r snr id
voigt CIV 3.7526927 3.7526930 0.0000145 11.988 0.129 4.052 1.238 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 87.0000000
voigt SiIV 3.7527969 3.7527555 0.0000408 12.355 0.215 8.639 3.120 0.0000000e+00 0.0000000e+00 130000.000 1.867 43.107 46.0000000
voigt CII_1334 3.7528971 3.7528774 0.0000727 12.283 1.360 7.587 10.200 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 102.0000000
voigt CIV 3.7529346 3.7529168 0.0000100 12.517 0.056 8.104 1.130 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 80.0000000
voigt SiIV 3.7529061 3.7529382 0.0000279 12.272 0.237 6.794 1.493 0.0000000e+00 0.0000000e+00 130000.000 1.867 43.107 49.0000000
voigt SiIV 3.7532787 3.7532236 0.0000239 11.775 0.169 7.052 2.790 0.0000000e+00 0.0000000e+00 130000.000 1.867 43.107 50.0000000
voigt CII_1334 3.7532527 3.7532491 0.0000849 12.193 1.676 7.861 12.589 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 103.0000000
voigt CII_1334 3.7535236 3.7533973 0.0117642 12.430 13.356 36.214 971.123 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 104.0000000
voigt CIV 3.7534486 3.7534212 0.0000148 13.236 0.046 17.133 1.138 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 81.0000000
voigt SiIV 3.7534819 3.7534703 0.0000145 12.072 0.113 7.705 1.929 0.0000000e+00 0.0000000e+00 130000.000 1.867 43.107 51.0000000
voigt SiIV 3.7538036 3.7537943 0.0000205 12.177 0.125 10.272 3.229 0.0000000e+00 0.0000000e+00 130000.000 1.867 43.107 52.0000000
voigt CII_1334 3.7539639 3.7540268 0.0000503 14.271 0.538 6.714 2.013 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 105.0000000
voigt SiII_1304,SiII_1260,SiII_1526 3.7539639 3.7540268 0.0000503 13.064 1.036 8.802 2.348 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 106.0000000
voigt CII_1334 3.7540993 3.7540553 0.0000192 13.429 14.918 15.187 54.437 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 107.0000000
voigt SiII_1304,SiII_1260,SiII_1526 3.7540993 3.7540553 0.0000192 13.510 0.386 7.442 1.142 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 108.0000000
voigt SiIV 3.7540915 3.7540804 0.0000518 12.368 0.364 7.032 2.822 0.0000000e+00 0.0000000e+00 130000.000 1.867 43.107 53.0000000
voigt CIV 3.7540835 3.7540906 0.0000242 13.325 0.079 25.903 5.028 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 82.0000000
voigt SiIV 3.7542543 3.7542360 0.0000498 12.301 0.602 6.779 3.765 0.0000000e+00 0.0000000e+00 130000.000 1.867 43.107 47.0000000
voigt CII_1334 3.7543025 3.7542867 0.0000073 14.289 11.283 12.513 30.349 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 109.0000000
voigt SiII_1304,SiII_1260,SiII_1526 3.7543025 3.7542867 0.0000073 13.288 0.161 4.265 0.714 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 110.0000000
voigt CII_1334 3.7544380 3.7544119 0.0000206 13.247 259.871 24.896 2220.249 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 111.0000000
voigt SiII_1304,SiII_1260,SiII_1526 3.7544380 3.7544119 0.0000206 12.804 0.528 4.330 2.365 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 112.0000000
voigt SiIV 3.7544133 3.7544224 0.0000308 12.799 0.094 11.574 1.430 0.0000000e+00 0.0000000e+00 130000.000 1.867 43.107 54.0000000
voigt CIV 3.7544464 3.7544903 0.0000146 12.456 0.277 8.822 2.432 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 88.0000000
voigt CII_1334 3.7545565 3.7546145 0.0002452 13.588 120.851 17.121 1754.770 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 113.0000000
voigt SiII_1304,SiII_1260,SiII_1526 3.7545565 3.7546145 0.0002452 12.966 4.895 11.129 30.294 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 114.0000000
voigt CII_1334 3.7547089 3.7546449 0.0002080 14.134 21.478 9.936 90.098 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 115.0000000
